yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,ccz1,Y,537596,286851,0.533580979025142,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 ccz1_BD50_2xSLAD+400S_4x_Day6_1
2,ccz1,Y,554266,269634,0.486470395081062,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 ccz1_BD50_2xSLAD+400S_4x_Day6_2
3,ccz1,Y,501287,181788,0.362642558055565,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 ccz1_BD50_2xSLAD+400S_4x_Day6_3
4,ccz1,Y,491551,203667,0.414335440269677,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 ccz1_BD50_2xSLAD+400S_4x_Day6_4
5,ccz1,Y,750409,432334,0.576131149812969,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 ccz1_BD50_2xSLAD+400S_4x_Day6_5
6,ccz1,N,666513,301949,0.453027922936237,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 ccz1_BD50_2xSLAD_4x_Day6_1
7,ccz1,N,645523,174518,0.270351327528221,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 ccz1_BD50_2xSLAD_4x_Day6_2
8,ccz1,N,663494,15637,0.0235676584867384,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 ccz1_BD50_2xSLAD_4x_Day6_3
9,ccz1,N,775414,17676,0.0227955646918936,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 ccz1_BD50_2xSLAD_4x_Day6_4
10,ccz1,N,666166,54011,0.0810773891192285,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 ccz1_BD50_2xSLAD_4x_Day6_5
11,ccz1,Y,694003,277933,0.400478095916012,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day6_1
12,ccz1,Y,719232,374584,0.520811087382096,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day6_2
13,ccz1,Y,761007,275574,0.362117562650541,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day6_3
14,ccz1,Y,784997,357652,0.455609384494463,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day6_4
15,ccz1,Y,748634,279532,0.373389399893673,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 ccz1_BD75_2xSLAD+400S_4x_Day6_5
16,ccz1,N,831071,462616,0.556650394490964,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 ccz1_BD75_2xSLAD_4x_Day6_1
17,ccz1,N,747387,549388,0.735078346291814,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 ccz1_BD75_2xSLAD_4x_Day6_2
18,ccz1,N,745026,551049,0.739637274403846,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 ccz1_BD75_2xSLAD_4x_Day6_3
19,ccz1,N,872821,454138,0.520310579145094,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 ccz1_BD75_2xSLAD_4x_Day6_4
20,ccz1,N,796454,403007,0.506001602101314,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 ccz1_BD75_2xSLAD_4x_Day6_5
21,cdh1,Y,604998,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 cdh1_BD50_2xSLAD+400S_4x_Day6_1
22,cdh1,Y,693464,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 cdh1_BD50_2xSLAD+400S_4x_Day6_2
23,cdh1,Y,577488,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 cdh1_BD50_2xSLAD+400S_4x_Day6_3
24,cdh1,Y,549809,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 cdh1_BD50_2xSLAD+400S_4x_Day6_4
25,cdh1,Y,658570,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 cdh1_BD50_2xSLAD+400S_4x_Day6_5
26,cdh1,N,737681,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 cdh1_BD50_2xSLAD_4x_Day6_1
27,cdh1,N,607822,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 cdh1_BD50_2xSLAD_4x_Day6_2
28,cdh1,N,614194,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 cdh1_BD50_2xSLAD_4x_Day6_3
29,cdh1,N,677800,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 cdh1_BD50_2xSLAD_4x_Day6_4
30,cdh1,N,822682,0,0,Nov_26,BD50,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 cdh1_BD50_2xSLAD_4x_Day6_5
31,cdh1,Y,734249,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 cdh1_BD75_2xSLAD+400S_4x_Day6_1
32,cdh1,Y,863073,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 cdh1_BD75_2xSLAD+400S_4x_Day6_2
33,cdh1,Y,895427,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 cdh1_BD75_2xSLAD+400S_4x_Day6_3
34,cdh1,Y,815348,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 cdh1_BD75_2xSLAD+400S_4x_Day6_4
35,cdh1,Y,821854,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,400,796 cdh1_BD75_2xSLAD+400S_4x_Day6_5
36,cdh1,N,914890,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 cdh1_BD75_2xSLAD_4x_Day6_1
37,cdh1,N,827757,0,0,Nov_26,BD75,1xSLAD,2xSLAD,day6,ExpE,E3,0,796 cdh1_BD75_2xSLAD_4x_Day6_2
