yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,parent,Y,176977,0,0,Nov_11,NaN,1xSLAD,1xSLAD,day3,ExpC,E1,400,796_BD+400S_4x_Day3_1
2,parent,Y,180343,0,0,Nov_11,NaN,1xSLAD,1xSLAD,day3,ExpC,E1,400,796_BD+400S_4x_Day3_2
3,parent,Y,189618,0,0,Nov_11,NaN,1xSLAD,1xSLAD,day3,ExpC,E1,400,796_BD+400S_4x_Day3_3
4,parent,Y,213749,0,0,Nov_11,NaN,1xSLAD,1xSLAD,day3,ExpC,E1,400,796_BD+400S_4x_Day3_4
5,parent,Y,171762,0,0,Nov_11,NaN,1xSLAD,1xSLAD,day3,ExpC,E1,400,796_BD+400S_4x_Day3_5
6,parent,Y,133986,0,0,Nov_11,NaN,1xSLAD,1xSLAD,day3,ExpC,E1,750,796_BD+750S_4x_Day3_1
7,parent,Y,177141,0,0,Nov_11,NaN,1xSLAD,1xSLAD,day3,ExpC,E1,750,796_BD+750S_4x_Day3_2
8,parent,Y,165970,23892,0.143953726577092,Nov_11,NaN,1xSLAD,1xSLAD,day3,ExpC,E1,750,796_BD+750S_4x_Day3_3
9,parent,Y,166007,0,0,Nov_11,NaN,1xSLAD,1xSLAD,day3,ExpC,E1,750,796_BD+750S_4x_Day3_4
10,parent,Y,185683,0,0,Nov_11,NaN,1xSLAD,1xSLAD,day3,ExpC,E1,750,796_BD+750S_4x_Day3_5
11,parent,Y,335029,0,0,Nov_11,BD100,1xSLAD,1xSLAD,day3,ExpC,E1,400,796_BD100+400S_4x_Day3_1
12,parent,Y,304654,0,0,Nov_11,BD100,1xSLAD,1xSLAD,day3,ExpC,E1,400,796_BD100+400S_4x_Day3_2
13,parent,Y,295108,0,0,Nov_11,BD100,1xSLAD,1xSLAD,day3,ExpC,E1,400,796_BD100+400S_4x_Day3_3
14,parent,Y,314476,0,0,Nov_11,BD100,1xSLAD,1xSLAD,day3,ExpC,E1,400,796_BD100+400S_4x_Day3_4
15,parent,Y,287247,0,0,Nov_11,BD100,1xSLAD,1xSLAD,day3,ExpC,E1,400,796_BD100+400S_4x_Day3_5
16,parent,Y,241441,0,0,Nov_11,BD100,1xSLAD,1xSLAD,day3,ExpC,E1,750,796_BD100+750S_4x_Day3_1
17,parent,Y,252152,0,0,Nov_11,BD100,1xSLAD,1xSLAD,day3,ExpC,E1,750,796_BD100+750S_4x_Day3_2
18,parent,Y,194430,0,0,Nov_11,BD100,1xSLAD,1xSLAD,day3,ExpC,E1,750,796_BD100+750S_4x_Day3_3
19,parent,Y,269573,0,0,Nov_11,BD100,1xSLAD,1xSLAD,day3,ExpC,E1,750,796_BD100+750S_4x_Day3_4
