yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,parent,Y,279137,144069,0.516122907389561,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day4_1
2,parent,Y,236135,95174,0.403049103267199,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day4_2
3,parent,Y,204345,85572,0.418762387139397,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day4_3
4,parent,Y,240167,110974,0.462070142858927,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day4_4
5,parent,Y,273208,132192,0.483851131738456,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 _1xSLADliq_BD50_2xSLAD+400S_4x_Day4_5
6,parent,N,349755,150245,0.429572129061772,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day4_1
7,parent,N,359750,188258,0.523302293259208,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day4_2
8,parent,N,337945,156457,0.462965867226916,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day4_3
9,parent,N,326309,188235,0.576861195982949,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day4_4
10,parent,N,324858,207045,0.637340007018451,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 _1xSLADliq_BD50_2xSLAD_4x_Day4_5
11,parent,Y,263288,99362,0.377389018869071,Dec_03,BD75,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day4_1
12,parent,Y,286113,50012,0.1747980692943,Dec_03,BD75,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day4_2
13,parent,Y,244286,16855,0.0689969953251517,Dec_03,BD75,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day4_3
14,parent,Y,253869,81891,0.322571877621923,Dec_03,BD75,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day4_4
15,parent,Y,278802,142908,0.512578819377192,Dec_03,BD75,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 _1xSLADliq_BD75_2xSLAD+400S_4x_Day4_5
16,parent,N,428829,160659,0.374645837851451,Dec_03,BD75,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day4_1
17,parent,N,393923,131209,0.333082861371385,Dec_03,BD75,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day4_2
18,parent,N,428158,74514,0.174033884687428,Dec_03,BD75,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day4_3
19,parent,N,443163,18502,0.0417498753280396,Dec_03,BD75,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day4_4
20,parent,N,432809,96991,0.224096541430516,Dec_03,BD75,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 _1xSLADliq_BD75_2xSLAD_4x_Day4_5
21,alr,Y,386615,48096,0.12440282968845,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 alr2 _1xSLADliq_BD50_2xSLAD+400S_4x_Day4_1
22,alr,Y,367235,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 alr2 _1xSLADliq_BD50_2xSLAD+400S_4x_Day4_2
23,alr,Y,360563,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 alr2 _1xSLADliq_BD50_2xSLAD+400S_4x_Day4_3
24,alr,Y,423524,16800,0.039667173524995,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 alr2 _1xSLADliq_BD50_2xSLAD+400S_4x_Day4_4
25,alr,Y,362704,12616,0.0347831840839914,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 alr2 _1xSLADliq_BD50_2xSLAD+400S_4x_Day4_5
26,alr,N,510961,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 alr2 _1xSLADliq_BD50_2xSLAD_4x_Day4_1
27,alr,N,492495,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 alr2 _1xSLADliq_BD50_2xSLAD_4x_Day4_2
28,alr,N,472855,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 alr2 _1xSLADliq_BD50_2xSLAD_4x_Day4_3
29,alr,N,498656,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 alr2 _1xSLADliq_BD50_2xSLAD_4x_Day4_4
30,alr,N,506909,0,0,Dec_03,BD50,1xSLAD,2xSLAD,day4,ExpA,E4,0,796 alr2 _1xSLADliq_BD50_2xSLAD_4x_Day4_5
31,alr,Y,548448,0,0,Dec_03,BD75,1xSLAD,2xSLAD,day4,ExpA,E4,400,796 alr2 _1xSLADliq_BD75_2xSLAD+400S_4x_Day4_1
