yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,pre_slad,post_slad,day,exp_type,exp_order,sulfide_amount,full_name
1,1278b,Y,124409,33388,0.268372866914773,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,1278b_BD50+400S_4x_Day3_1
2,1278b,Y,79824,26850,0.336365003006615,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,1278b_BD50+400S_4x_Day3_2
3,1278b,Y,92815,31294,0.33716532888003,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,1278b_BD50+400S_4x_Day3_3
4,1278b,Y,88436,39303,0.44442308562124,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,1278b_BD50+400S_4x_Day3_4
5,1278b,Y,103199,48408,0.469074312735589,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,1278b_BD50+400S_4x_Day3_5
6,1278b,N,205799,66597,0.323602155501241,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,1278b_BD50_4x_Day3_1
7,1278b,N,175401,66608,0.379746979777766,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,1278b_BD50_4x_Day3_2
8,1278b,N,201206,83271,0.413859427651263,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,1278b_BD50_4x_Day3_3
9,1278b,N,218705,62098,0.283934980910359,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,1278b_BD50_4x_Day3_4
10,1278b,N,223547,74307,0.332399898008025,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,1278b_BD50_4x_Day3_5
11,1278b,Y,138722,38343,0.276401724311933,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,1278b_BD75+400S_4x_Day3_1
12,1278b,Y,112002,36471,0.325628113783682,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,1278b_BD75+400S_4x_Day3_2
13,1278b,Y,104030,28107,0.270181678362011,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,1278b_BD75+400S_4x_Day3_3
14,1278b,Y,82892,26146,0.315422477440525,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,1278b_BD75+400S_4x_Day3_4
15,1278b,Y,105305,33198,0.315255685864869,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,1278b_BD75+400S_4x_Day3_5
16,1278b,N,218234,66066,0.302730097051788,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,1278b_BD75_4x_Day3_1
17,1278b,N,201932,56710,0.280837113483747,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,1278b_BD75_4x_Day3_2
18,1278b,N,226662,87163,0.384550564276323,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,1278b_BD75_4x_Day3_3
19,1278b,N,226023,56428,0.249656008459316,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,1278b_BD75_4x_Day3_4
20,1278b,N,237549,66085,0.278195235509305,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,1278b_BD75_4x_Day3_5
21,fat1,Y,201152,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 fat1_BD50+400S_4x_Day3_1
22,fat1,Y,184954,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 fat1_BD50+400S_4x_Day3_2
23,fat1,Y,149763,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 fat1_BD50+400S_4x_Day3_3
24,fat1,Y,133305,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 fat1_BD50+400S_4x_Day3_4
25,fat1,Y,198671,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 fat1_BD50+400S_4x_Day3_5
26,fat1,N,292030,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 fat1_BD50_4x_Day3_1
27,fat1,N,289274,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 fat1_BD50_4x_Day3_2
28,fat1,N,294108,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 fat1_BD50_4x_Day3_3
29,fat1,N,314331,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 fat1_BD50_4x_Day3_4
30,fat1,N,277183,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 fat1_BD50_4x_Day3_5
31,fat1,Y,426145,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 fat1_BD75+400S_4x_Day3_1
32,fat1,Y,380848,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 fat1_BD75+400S_4x_Day3_2
33,fat1,Y,401052,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 fat1_BD75+400S_4x_Day3_3
34,fat1,Y,498871,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 fat1_BD75+400S_4x_Day3_4
35,fat1,Y,612687,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 fat1_BD75+400S_4x_Day3_5
36,fat1,N,362156,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 fat1_BD75_4x_Day3_2
37,fat1,N,358263,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 fat1_BD75_4x_Day3_3
38,fat1,N,358240,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 fat1_BD75_4x_Day3_4
39,fat1,N,359546,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 fat1_BD75_4x_Day3_5
40,gup1,Y,205178,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 gup1_BD50+400S_4x_Day3_1
41,gup1,Y,120860,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 gup1_BD50+400S_4x_Day3_2
42,gup1,N,196494,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 gup1_BD50_4x_Day3_1
43,gup1,N,177031,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 gup1_BD50_4x_Day3_2
44,gup1,N,182050,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 gup1_BD50_4x_Day3_3
45,gup1,N,183771,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 gup1_BD50_4x_Day3_4
46,gup1,N,200931,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 gup1_BD50_4x_Day3_5
47,gup1,Y,204196,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 gup1_BD75+400S_4x_Day3_1
48,gup1,N,212210,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 gup1_BD75_4x_Day3_2
49,nrt1,Y,213919,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 nrt1_BD50+400S_4x_Day3_1
50,nrt1,Y,178278,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 nrt1_BD50+400S_4x_Day3_2
51,nrt1,Y,198927,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 nrt1_BD50+400S_4x_Day3_3
52,nrt1,Y,208180,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 nrt1_BD50+400S_4x_Day3_4
53,nrt1,Y,160539,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 nrt1_BD50+400S_4x_Day3_5
54,nrt1,N,275289,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 nrt1_BD50_4x_Day3_1
55,nrt1,N,271890,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 nrt1_BD50_4x_Day3_2
56,nrt1,N,285731,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 nrt1_BD50_4x_Day3_3
57,nrt1,N,266329,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 nrt1_BD50_4x_Day3_4
58,nrt1,N,296169,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 nrt1_BD50_4x_Day3_5
59,nrt1,Y,310930,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 nrt1_BD75+400S_4x_Day3_1
60,nrt1,Y,240579,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 nrt1_BD75+400S_4x_Day3_2
61,nrt1,Y,232762,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 nrt1_BD75+400S_4x_Day3_3
62,nrt1,Y,324093,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 nrt1_BD75+400S_4x_Day3_4
63,nrt1,Y,276582,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 nrt1_BD75+400S_4x_Day3_5
64,nrt1,N,473631,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 nrt1_BD75_4x_Day3_1
65,nrt1,N,429100,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 nrt1_BD75_4x_Day3_2
66,nrt1,N,403374,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 nrt1_BD75_4x_Day3_3
67,nrt1,N,407351,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 nrt1_BD75_4x_Day3_4
68,nrt1,N,418251,0,0,Nov_18,BD75,1xSLAD,1xSLAD,day3,ExpD,E2,0,796 nrt1_BD75_4x_Day3_5
69,skp2,Y,209294,0,0,Nov_18,BD50,1xSLAD,1xSLAD,day3,ExpD,E2,400,796 skp2_BD50+400S_4x_Day3_1
