yeast_id,mutant_id,sulfide,surface_area,washed_area,area_ratio,time_of_exp,nutrient,slad,day,exp_type,exp_order,sulfide_amount,full_name
58,parent,N,1087368,89811,0.082594852892489,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S2
59,parent,N,965673,29294,0.0303353205484672,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S3
60,parent,N,1187307,64736,0.0545233878011332,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S4
61,parent,N,1207101,150900,0.125010251834768,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S5
62,parent,N,1496924,67808,0.045298224893181,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S6
63,parent,N,1343405,90430,0.0673140266710337,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S7
64,parent,N,991299,43496,0.0438777805687285,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S8
65,parent,N,897133,40652,0.0453132367218684,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S9
66,parent,N,1315305,91771,0.0697716499215011,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S10
67,parent,N,679681,17905,0.0263432404319085,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S11
68,parent,N,872881,47832,0.0547978475874718,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S12
69,parent,N,761319,36615,0.0480941628936096,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S13
70,parent,N,747232,48832,0.0653505203203289,Oct_31_2014,BD500,1xSLAD,day10,ExpN,E0,0,500um S14
