Experiment start date,Image date,Strain,Liquid Starter culture Medium,Experimental Medium,agar_type,Nitrogen added to AGAR medium (uM of ammonium sulfate),Sodium sulfide added (ug of S/L,Days after innoculation,Total colonies (before wash),Total invasive colonies (after wash),% of colonies with invasive growth,Increase in % of colonies with IG with added sulfide
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,50,400,6,43,41,0.95348837209302328,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,75,400,6,29,29,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,100,400,6,49,49,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,50,400,6,45,45,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,75,400,6,42,42,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,100,400,6,42,42,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,50,750,6,38,38,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,75,750,6,58,58,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,100,750,6,48,48,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,50,750,6,53,53,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,75,750,6,52,52,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,100,750,6,43,43,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,50,NA,6,57,0,0,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,75,NA,6,50,50,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,BD Agar,100,NA,6,36,33,0.91666666666666663,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,50,NA,6,45,45,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,75,NA,6,36,36,1,NA
43777,43780,796,1 x SLAD,2 x SLAD,Oxoid Agar,100,NA,6,40,40,1,NA
